Series_Title,IMDB_Rating,Runtime,Released_Year,Genre
The Shawshank Redemption,9.3,142,1994,Drama
The Godfather,9.2,175,1972,"Crime, Drama"
The Dark Knight,9,152,2008,"Action, Crime, Drama"
The Godfather: Part II,9,202,1974,"Crime, Drama"
12 Angry Men,9,96,1957,"Crime, Drama"
The Lord of the Rings: The Return of the King,8.9,201,2003,"Action, Adventure, Drama"
Pulp Fiction,8.9,154,1994,"Crime, Drama"
Schindler's List,8.9,195,1993,"Biography, Drama, History"
Inception,8.8,148,2010,"Action, Adventure, Sci-Fi"
Fight Club,8.8,139,1999,Drama
The Lord of the Rings: The Fellowship of the Ring,8.8,178,2001,"Action, Adventure, Drama"
Forrest Gump,8.8,142,1994,"Drama, Romance"
"Il buono, il brutto, il cattivo",8.8,161,1966,Western
The Lord of the Rings: The Two Towers,8.7,179,2002,"Action, Adventure, Drama"
The Matrix,8.7,136,1999,"Action, Sci-Fi"
Goodfellas,8.7,146,1990,"Biography, Crime, Drama"
Star Wars: Episode V - The Empire Strikes Back,8.7,124,1980,"Action, Adventure, Fantasy"
One Flew Over the Cuckoo's Nest,8.7,133,1975,Drama
Hamilton,8.6,160,2020,"Biography, Drama, History"
Gisaengchung,8.6,132,2019,"Comedy, Drama, Thriller"
Soorarai Pottru,8.6,153,2020,Drama
Interstellar,8.6,169,2014,"Adventure, Drama, Sci-Fi"
Cidade de Deus,8.6,130,2002,"Crime, Drama"
Sen to Chihiro no kamikakushi,8.6,125,2001,"Animation, Adventure, Family"
Saving Private Ryan,8.6,169,1998,"Drama, War"
The Green Mile,8.6,189,1999,"Crime, Drama, Fantasy"
La vita è bella,8.6,116,1997,"Comedy, Drama, Romance"
Se7en,8.6,127,1995,"Crime, Drama, Mystery"
The Silence of the Lambs,8.6,118,1991,"Crime, Drama, Thriller"
Star Wars,8.6,121,1977,"Action, Adventure, Fantasy"
Seppuku,8.6,133,1962,"Action, Drama, Mystery"
Shichinin no samurai,8.6,207,1954,"Action, Adventure, Drama"
It's a Wonderful Life,8.6,130,1946,"Drama, Family, Fantasy"
Joker,8.5,122,2019,"Crime, Drama, Thriller"
Whiplash,8.5,106,2014,"Drama, Music"
The Intouchables,8.5,112,2011,"Biography, Comedy, Drama"
The Prestige,8.5,130,2006,"Drama, Mystery, Sci-Fi"
The Departed,8.5,151,2006,"Crime, Drama, Thriller"
The Pianist,8.5,150,2002,"Biography, Drama, Music"
Gladiator,8.5,155,2000,"Action, Adventure, Drama"
American History X,8.5,119,1998,Drama
The Usual Suspects,8.5,106,1995,"Crime, Mystery, Thriller"
Léon,8.5,110,1994,"Action, Crime, Drama"
The Lion King,8.5,88,1994,"Animation, Adventure, Drama"
Terminator 2: Judgment Day,8.5,137,1991,"Action, Sci-Fi"
Nuovo Cinema Paradiso,8.5,155,1988,"Drama, Romance"
Hotaru no haka,8.5,89,1988,"Animation, Drama, War"
Back to the Future,8.5,116,1985,"Adventure, Comedy, Sci-Fi"
Once Upon a Time in the West,8.5,165,1968,Western
Psycho,8.5,109,1960,"Horror, Mystery, Thriller"
Casablanca,8.5,102,1942,"Drama, Romance, War"
Modern Times,8.5,87,1936,"Comedy, Drama, Family"
City Lights,8.5,87,1931,"Comedy, Drama, Romance"
Capharnaüm,8.4,126,2018,Drama
Ayla: The Daughter of War,8.4,125,2017,"Biography, Drama, History"
Vikram Vedha,8.4,147,2017,"Action, Crime, Drama"
Kimi no na wa.,8.4,106,2016,"Animation, Drama, Fantasy"
Dangal,8.4,161,2016,"Action, Biography, Drama"
Spider-Man: Into the Spider-Verse,8.4,117,2018,"Animation, Action, Adventure"
Avengers: Endgame,8.4,181,2019,"Action, Adventure, Drama"
Avengers: Infinity War,8.4,149,2018,"Action, Adventure, Sci-Fi"
Coco,8.4,105,2017,"Animation, Adventure, Family"
Django Unchained,8.4,165,2012,"Drama, Western"
The Dark Knight Rises,8.4,164,2012,"Action, Adventure"
3 Idiots,8.4,170,2009,"Comedy, Drama"
Taare Zameen Par,8.4,165,2007,"Drama, Family"
WALL·E,8.4,98,2008,"Animation, Adventure, Family"
The Lives of Others,8.4,137,2006,"Drama, Mystery, Thriller"
Oldeuboi,8.4,101,2003,"Action, Drama, Mystery"
Memento,8.4,113,2000,"Mystery, Thriller"
Mononoke-hime,8.4,134,1997,"Animation, Action, Adventure"
Once Upon a Time in America,8.4,229,1984,"Crime, Drama"
Raiders of the Lost Ark,8.4,115,1981,"Action, Adventure"
The Shining,8.4,146,1980,"Drama, Horror"
Apocalypse Now,8.4,147,1979,"Drama, Mystery, War"
Alien,8.4,117,1979,"Horror, Sci-Fi"
Anand,8.4,122,1971,"Drama, Musical"
Tengoku to jigoku,8.4,143,1963,"Crime, Drama, Mystery"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,95,1964,Comedy
Witness for the Prosecution,8.4,116,1957,"Crime, Drama, Mystery"
Paths of Glory,8.4,88,1957,"Drama, War"
Rear Window,8.4,112,1954,"Mystery, Thriller"
Sunset Blvd.,8.4,110,1950,"Drama, Film-Noir"
The Great Dictator,8.4,125,1940,"Comedy, Drama, War"
1917,8.3,119,2019,"Drama, Thriller, War"
Tumbbad,8.3,104,2018,"Drama, Fantasy, Horror"
Andhadhun,8.3,139,2018,"Crime, Drama, Music"
Drishyam,8.3,160,2013,"Crime, Drama, Thriller"
Jagten,8.3,115,2012,Drama
Jodaeiye Nader az Simin,8.3,123,2011,Drama
Incendies,8.3,131,2010,"Drama, Mystery, War"
Miracle in cell NO.7,8.3,132,2019,Drama
Babam ve Oglum,8.3,112,2005,"Drama, Family"
Inglourious Basterds,8.3,153,2009,"Adventure, Drama, War"
Eternal Sunshine of the Spotless Mind,8.3,108,2004,"Drama, Romance, Sci-Fi"
Amélie,8.3,122,2001,"Comedy, Romance"
Snatch,8.3,104,2000,"Comedy, Crime"
Requiem for a Dream,8.3,102,2000,Drama
American Beauty,8.3,122,1999,Drama
Good Will Hunting,8.3,126,1997,"Drama, Romance"
Bacheha-Ye aseman,8.3,89,1997,"Drama, Family, Sport"
Toy Story,8.3,81,1995,"Animation, Adventure, Comedy"
Braveheart,8.3,178,1995,"Biography, Drama, History"
Reservoir Dogs,8.3,99,1992,"Crime, Drama, Thriller"
Full Metal Jacket,8.3,116,1987,"Drama, War"
Idi i smotri,8.3,142,1985,"Drama, Thriller, War"
Aliens,8.3,137,1986,"Action, Adventure, Sci-Fi"
